Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000074813,Gm14005,0.010161164876776993,-0.9857935202884063,0.16724515467982726,0.019815732268856266,0.9857935202884063,0.16724515467982726
ENSMUSG00000079053,Gm14010,0.0013856133922877719,-0.42189263509508024,1.0,0.0012384832668035166,0.42189263509508024,1.0
ENSMUSG00000014355,Anapc1,0.8720126948797711,0.05850232771829253,0.9792520201033709,0.8372146883591772,-0.05850232771829253,0.9792520201033709
ENSMUSG00000014361,Mertk,0.18659593682808662,-0.4948241575489316,0.11720572641909152,0.2625584525623455,0.4948241575489316,0.11720572641909152
ENSMUSG00000014353,Tmem87b,0.7269851598203176,0.4277540086789622,0.18566069238357852,0.5399787043263332,-0.4277540086789622,0.18566069238357852
ENSMUSG00000027386,Fbln7,0.027250396714992846,-1.7438207299824433,4.821317507725591e-06,0.09164776174346023,1.7438207299824433,4.821317507725591e-06
ENSMUSG00000027387,Zc3h8,0.18705780795884921,0.8004997862413674,0.020765598724312204,0.10650956094510243,-0.8004997862413674,0.020765598724312204
ENSMUSG00000074807,Gm10762,0.03048349463033098,-0.5652568102662583,0.2919546243762233,0.0445853976049266,0.5652568102662583,0.2919546243762233
ENSMUSG00000042851,Zc3h6,0.48727404295453314,0.40818236346260717,0.22928147808151442,0.36659104697384093,-0.40818236346260717,0.22928147808151442
ENSMUSG00000027394,Ttl,1.0258157814237139,0.6929354506869574,0.01800610516161169,0.6341034326034005,-0.6929354506869574,0.01800610516161169
ENSMUSG00000027395,Polr1b,0.18798155022037438,0.09066137009802544,0.9192992839863615,0.17586462388609936,-0.09066137009802544,0.9192992839863615
ENSMUSG00000037938,Chchd5,0.4651042286779288,-0.15885822926128657,0.6643023834440119,0.5189244887906734,0.15885822926128657,0.6643023834440119
ENSMUSG00000084826,AI847159,0.006928066961438859,0.9931448641837637,0.4830664722939654,0.0024769665336070333,-0.9931448641837637,0.4830664722939654
ENSMUSG00000086652,Gm14029,0.0023093556538129533,0.16306986562607584,1.0,0.0012384832668035166,-0.16306986562607584,1.0
ENSMUSG00000027397,Slc20a1,1.4211774693564914,0.2725833503725663,0.4194659759152271,1.1765591034633407,-0.2725833503725663,0.4194659759152271
ENSMUSG00000056738,A730036I17Rik,0.005080582438388497,-1.7438207299824429,0.031205062377667504,0.017338765735249232,1.7438207299824429,0.031205062377667504
ENSMUSG00000048327,Ckap2l,0.00738993809220145,-2.034869511985833,0.00040341076696030656,0.030962081670087915,2.034869511985833,0.00040341076696030656
ENSMUSG00000027399,Il1a,0.008775551484489223,-1.0999645402077185,0.16713754349538862,0.018577249002052747,1.0999645402077185,0.16713754349532686
ENSMUSG00000027398,Il1b,0.01524174731516549,0.08060770543410278,1.0,0.013623315934838683,-0.08060770543410278,1.0
ENSMUSG00000074805,Il1bos,0.0004618711307625906,-2.4218926350950802,0.22495237370237575,0.00371544980041055,2.4218926350950802,0.22495237370237575
ENSMUSG00000037902,Sirpa,5.803410758031951,0.8582808909662831,0.0012536048949164658,3.202717727953894,-0.8582808909662831,0.0012536048949160026
ENSMUSG00000027400,Pdyn,0.7764053708119149,1.3932025471793152,5.048968708599026e-06,0.29475901749923694,-1.3932025471793152,5.048968708599026e-06
ENSMUSG00000037885,Stk35,0.19352400378952547,-0.19950021375863258,0.5966573928101887,0.22168850475782947,0.19950021375863258,0.5966573928101887
ENSMUSG00000100255,Gm28196,0.0013856133922877719,-0.42189263509508024,1.0,0.0012384832668035166,0.42189263509508024,1.0
ENSMUSG00000027401,Tgm3,0.07112815413743896,1.8542317701791573,5.363732294164888e-05,0.018577249002052747,-1.8542317701791573,5.363732294164888e-05
ENSMUSG00000027403,Tgm6,0.0018474845230503625,-0.0999645402077185,1.0,0.0012384832668035166,0.0999645402077185,1.0
ENSMUSG00000027404,Snrpb,2.7670699443986804,0.1676517676431677,0.6611804217615767,2.464581700938998,-0.1676517676431677,0.6611804217616613
ENSMUSG00000060332,Tmc2,0.0004618711307625906,-0.42189263509508024,1.0,0.0,0.42189263509508024,1.0
ENSMUSG00000027405,Nop56,1.6581173594377003,0.4516393635670072,0.13072261690369952,1.2124751182006428,-0.4516393635670072,0.13072261690369952
ENSMUSG00000027406,Idh3b,6.427398655692211,0.6465698255200487,0.018644000047016412,4.108048995987264,-0.6465698255200487,0.01864400004701666
ENSMUSG00000053552,Ebf4,0.13163327226733834,0.4900511882397236,0.22113485779504946,0.09288624501026374,-0.4900511882397236,0.22113485779504946
ENSMUSG00000027408,Cpxm1,0.12886204548276278,-0.2926096181501139,0.4562619838752409,0.15728737488404662,0.2926096181501139,0.4562619838752409
ENSMUSG00000037773,Pced1a,0.2115369778892665,0.332994867068388,0.40506900892977304,0.16719524101847474,-0.332994867068388,0.40506900892977304
ENSMUSG00000027411,Vps16,0.8678558547029078,0.46593962469775335,0.13683047568230314,0.627911016269383,-0.46593962469775335,0.13683047568230314
ENSMUSG00000027303,Ptpra,3.1776733796466234,0.11827553496331578,0.7793827452440298,2.9290129259903166,-0.11827553496331578,0.7793827452440298
ENSMUSG00000060029,4930473A02Rik,0.0004618711307625906,-0.42189263509508024,1.0,0.0,0.42189263509508024,1.0
ENSMUSG00000037740,Mrps26,2.864524752989587,0.5862707245616392,0.037596658040314805,1.908502714144219,-0.5862707245616392,0.037596658040314805
ENSMUSG00000027301,Oxt,0.07297563866048933,-3.699596729725759,0.09647104240756582,0.9536321154387077,3.699596729725759,0.09647104240756582
ENSMUSG00000037727,Avp,0.13440449905191387,-1.9599885307782623,0.11586019903347772,0.5238784218578876,1.9599885307782623,0.11586019903347772
ENSMUSG00000027300,Ubox5,0.2022995552740147,0.8326225383832644,0.013811231005492088,0.11270197727912001,-0.8326225383832644,0.013811231005490332
ENSMUSG00000079043,Fastkd5,0.12701456095971242,0.2108983907166908,0.6764395452519627,0.10898652747870946,-0.2108983907166908,0.6764395452519627
ENSMUSG00000037703,Lzts3,1.456741546425211,1.0982438463628088,5.5953873580531824e-05,0.6799273134751306,-1.0982438463628088,5.5953873580531824e-05
ENSMUSG00000068290,Ddrgk1,2.1102891964542767,-0.23761155145500035,0.4576776923552512,2.4893513662750686,0.23761155145500035,0.4576776923552512
