Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.0810122155757471,-0.11580228940519843,0.837884911635831,0.07960826200185667,-0.11469610894266768,0.9676118544626345,0.10304341383451313,0.37395771693538116,0.46976647092343965
ENSMUSG00000089699,Gm1992,0.0013502035929291183,0.5946910933998169,0.8060341897309566,0.0,-0.9488872159725883,0.8750558332469047,0.0019082113673057986,1.6369921227691755,0.6644606451838684
ENSMUSG00000025900,Rp1,0.0,-1.9902714073213392,0.4612834399249508,0.0,-0.9488872159725883,0.8750558332469047,0.005724634101917396,4.221954623490332,0.03164957267799752
ENSMUSG00000025902,Sox17,0.08911343713332182,-0.6831818214096104,0.03563651118417682,0.12303095036650576,0.12511336547118956,0.9188200032509964,0.18128007989405087,0.8296372007115713,0.03510440084943758
ENSMUSG00000033845,Mrpl15,1.3610052216725512,0.2709044999616729,0.34198049131663444,1.240648238989974,-0.006001966353657073,1.0,0.9197578790413949,-0.5136662183266342,0.19464089635399948
ENSMUSG00000025903,Lypla1,0.6899540359867795,0.07315397282029412,0.8773362630495779,0.6740855431845525,0.004377332625575714,1.0,0.6220769057416904,-0.13484393124408345,0.885198348986934
ENSMUSG00000104217,Gm37988,0.0013502035929291183,1.5946910933998169,0.46369002138047294,0.0,-0.5338497166937444,1.0,0.0,0.6369921227691755,1.0
ENSMUSG00000033813,Tcea1,1.6485985869664534,0.14717306339893632,0.6781847291990406,1.5880297459071666,0.026450729793143557,1.0,1.3052165752371663,-0.3162753823555173,0.4876321694632368
ENSMUSG00000002459,Rgs20,0.6177181437650716,0.52926025982861,0.03561057293569719,0.38977032174935017,-0.5875433967899591,0.0659740625104251,0.49804316686681344,-0.08112893478247263,1.0
ENSMUSG00000033793,Atp6v1h,3.5618370781470143,0.5309173996684813,0.023061279113446638,2.8204069966372076,-0.13858865854125235,0.8614770026940989,1.808984376205897,-0.8544667868921787,0.011097454272315966
ENSMUSG00000025905,Oprk1,0.12961954492119537,-0.4852772113035986,0.12515359342160753,0.2481296477979948,1.1566471981997704,3.576574933961075e-05,0.05915455238647976,-1.5362685912363938,0.0006448018407731946
ENSMUSG00000033774,Npbwr1,0.022278359283330454,-0.18821078493324794,0.847626213059275,0.032050079507240994,0.6935607794093288,0.3649506865301425,0.01335747957114059,-0.8004131895381237,0.3645591405158103
