Feature,Normalized.Dispersion
ENSMUSG00000051951,0.261762717719762
ENSMUSG00000089699,-1.5988672040435437
ENSMUSG00000025900,1.645219824980816
ENSMUSG00000025902,3.5444821028485536
ENSMUSG00000033845,-1.3138067518535161
ENSMUSG00000025903,0.7818814002448046
ENSMUSG00000104217,nan
ENSMUSG00000033813,-0.6272757372924799
ENSMUSG00000002459,0.9442975989225036
ENSMUSG00000033793,-0.2229790206267264
ENSMUSG00000025905,1.492057628548448
ENSMUSG00000033774,-1.4854199082656416
ENSMUSG00000025907,0.08515981399721517
ENSMUSG00000090031,6.6581975755607
ENSMUSG00000087247,nan
ENSMUSG00000033740,7.238294695099494
ENSMUSG00000051285,-0.043928054354795916
ENSMUSG00000097797,-1.0411030006352069
ENSMUSG00000025909,0.9641078959179251
ENSMUSG00000061024,-1.1470663261944833
ENSMUSG00000025911,2.5047451495181816
ENSMUSG00000067879,22.263134828526702
ENSMUSG00000025912,-0.3528527295096938
ENSMUSG00000045210,-0.6479184833525767
ENSMUSG00000097893,1.4622519677222057
ENSMUSG00000025915,2.4306890674492347
ENSMUSG00000046101,-1.0710350575653815
ENSMUSG00000098234,-0.8272417262114763
ENSMUSG00000099032,-0.004132596983634139
ENSMUSG00000025916,0.597874479365867
ENSMUSG00000025917,-0.9466323879826856
ENSMUSG00000056763,12.490138238250385
ENSMUSG00000067851,-1.260670973633857
ENSMUSG00000042501,-0.39048249447113903
ENSMUSG00000048960,3.4431607506328463
ENSMUSG00000057715,1.0080741548703516
ENSMUSG00000101314,nan
ENSMUSG00000016918,38.89475570776376
ENSMUSG00000025938,-1.737927995082128
ENSMUSG00000005886,-0.7955296313899716
ENSMUSG00000101476,0.29815737601804476
ENSMUSG00000025935,2.6773471845513654
ENSMUSG00000025937,-0.5057263989795293
ENSMUSG00000067813,nan
ENSMUSG00000025932,3.9014383403685238
ENSMUSG00000054493,-0.639020320526846
ENSMUSG00000025930,109.61913924070474
ENSMUSG00000032769,0.8109663206344162
ENSMUSG00000092083,0.25437758626052187
ENSMUSG00000025925,0.3179785322759417
ENSMUSG00000032719,1.3426233326937966
ENSMUSG00000067795,-3.2460296324895683
ENSMUSG00000043716,-0.15335931493378271
ENSMUSG00000025921,0.5239839409106759
ENSMUSG00000025920,-0.033517567865689234
ENSMUSG00000025939,-0.7731772742917381
ENSMUSG00000079658,-0.08513566142315826
ENSMUSG00000025940,-0.9514521006561588
ENSMUSG00000025779,0.4714774295313274
ENSMUSG00000042686,2.329177982058917
ENSMUSG00000025777,0.6409943616871047
ENSMUSG00000099899,-1.0698982179200678
ENSMUSG00000067780,-2.2190346798026552
ENSMUSG00000100053,0.6273442295363593
ENSMUSG00000085125,0.118165398782468
ENSMUSG00000025776,-0.32715618340127256
ENSMUSG00000099895,0.6910604147822761
ENSMUSG00000089787,-0.012286609481572704
ENSMUSG00000042596,-4.9590743765279175
ENSMUSG00000025927,1.7041505346837542
ENSMUSG00000043760,nan
ENSMUSG00000041872,nan
ENSMUSG00000041859,0.16910576178473927
ENSMUSG00000097934,-1.3319831558366366
ENSMUSG00000025931,1.6983714188216923
ENSMUSG00000041809,1.476394975929051
ENSMUSG00000041779,0.7477683213010281
ENSMUSG00000099971,nan
ENSMUSG00000025933,-0.7823626177027427
ENSMUSG00000025934,0.2555052577390591
ENSMUSG00000099343,1.6492343075963884
ENSMUSG00000067750,nan
ENSMUSG00000028033,4.434292773991885
ENSMUSG00000097109,nan
ENSMUSG00000041670,1.391570675244303
ENSMUSG00000073730,3.256712815341995
ENSMUSG00000100775,2.077945174369741
ENSMUSG00000026158,9.598664688741174
ENSMUSG00000099503,0.9150130597788906
ENSMUSG00000026156,0.7607185448270252
ENSMUSG00000026155,-0.28224416775942085
ENSMUSG00000026154,-1.1524050799183578
ENSMUSG00000026153,-1.4794488004730069
ENSMUSG00000026147,3.742164041624317
ENSMUSG00000026141,1.611398982870445
ENSMUSG00000073725,-0.8680812526542986
ENSMUSG00000033569,0.017560250939237614
ENSMUSG00000073722,nan
ENSMUSG00000101514,nan
ENSMUSG00000053185,nan
ENSMUSG00000048874,0.12505952612078736
ENSMUSG00000026064,3.925144893960822
ENSMUSG00000050217,0.16916489159129058
ENSMUSG00000026058,-0.1468440412816952
ENSMUSG00000091318,nan
ENSMUSG00000102917,nan
ENSMUSG00000026134,0.2436080396546964
ENSMUSG00000004768,0.15155659677678698
ENSMUSG00000042215,-1.4350109013417773
ENSMUSG00000042197,-0.5467075332873728
ENSMUSG00000042182,1.0473676481009246
ENSMUSG00000026131,1.5203724708470203
ENSMUSG00000102336,0.6150910677896579
ENSMUSG00000042111,-1.5052618211453657
ENSMUSG00000026127,0.050760391477265514
ENSMUSG00000026126,1.8914215884471777
ENSMUSG00000101223,-0.3379134887454767
ENSMUSG00000026124,-3.237586550694161
ENSMUSG00000045815,nan
ENSMUSG00000045174,-0.5578978156493779
ENSMUSG00000037509,0.5398050871454473
ENSMUSG00000104002,0.6435074864890528
ENSMUSG00000037503,-0.3451476957298845
ENSMUSG00000026123,-0.8843911748836575
ENSMUSG00000102531,-1.9920496624321393
ENSMUSG00000103708,nan
ENSMUSG00000045216,1.7997544415157924
ENSMUSG00000104523,-0.021535514275414516
ENSMUSG00000037470,-1.36188635792637
ENSMUSG00000047180,2.4025108060766396
ENSMUSG00000037447,0.9418568162313876
ENSMUSG00000010453,-0.8098107883120963
ENSMUSG00000037432,nan
ENSMUSG00000001143,-1.2921378351663306
ENSMUSG00000037408,-0.36362542030625084
ENSMUSG00000001138,-0.23054284293444824
ENSMUSG00000067653,1.0185695880562184
ENSMUSG00000079610,-0.695244333419836
ENSMUSG00000026121,-0.8894037501043776
ENSMUSG00000046337,1.3778189953501223
ENSMUSG00000061518,-1.5666692893118979
ENSMUSG00000037351,-0.04617030617576572
ENSMUSG00000102416,-1.8608566897253844
ENSMUSG00000104237,7.430966237407872
ENSMUSG00000026117,0.3301008269530926
ENSMUSG00000026116,0.1961415265037973
ENSMUSG00000050122,0.1785806902415062
ENSMUSG00000103603,-1.6073800661358835
ENSMUSG00000026114,-2.6688915934627335
ENSMUSG00000026113,-0.09331267282761772
ENSMUSG00000026112,-1.0600626681226553
ENSMUSG00000026111,0.012278150258523737
ENSMUSG00000026110,-0.51025237597855
ENSMUSG00000026090,11.01420071595273
ENSMUSG00000060771,-0.46293370588372806
ENSMUSG00000097268,-2.920767282469272
ENSMUSG00000037216,-0.7204073113311199
ENSMUSG00000026088,-0.7521609906972225
ENSMUSG00000026087,-0.9890463589286338
ENSMUSG00000061584,-1.2233726468508395
ENSMUSG00000058407,-0.6006166445026685
ENSMUSG00000026083,1.282419915850423
ENSMUSG00000026082,-0.6952516798300384
ENSMUSG00000037138,-0.0401740734459505
ENSMUSG00000085391,-1.0529450317402087
ENSMUSG00000087131,-1.2542752588474588
ENSMUSG00000048814,2.785996444742021
ENSMUSG00000026080,-0.5558262470888193
ENSMUSG00000067604,1.0273651687266416
ENSMUSG00000026078,0.5252781512612651
ENSMUSG00000026077,-0.1060715506699229
ENSMUSG00000073702,-1.1399552766841659
ENSMUSG00000003134,-0.40305490264417015
